TransactionID,BusinessID,TransactionDate,Amount_QAR,TransactionType,Status
TXN-7674851,55ecde6e-c25b-4714-966e-73ada07a05ac,2026-01-26,83321.8,Debit,Completed
TXN-7465377,55ecde6e-c25b-4714-966e-73ada07a05ac,2025-11-20,47845.9,Debit,Completed
TXN-7607912,55ecde6e-c25b-4714-966e-73ada07a05ac,2025-12-21,76942.39,Credit,Completed
TXN-7725275,55ecde6e-c25b-4714-966e-73ada07a05ac,2026-04-02,66238.65,Debit,Completed
TXN-1807744,55ecde6e-c25b-4714-966e-73ada07a05ac,2025-12-05,132538.47,Credit,Completed
TXN-6752613,55ecde6e-c25b-4714-966e-73ada07a05ac,2025-12-22,135956.73,Debit,Completed
TXN-5701669,55ecde6e-c25b-4714-966e-73ada07a05ac,2025-12-23,81195.32,Credit,Completed
TXN-8871917,55ecde6e-c25b-4714-966e-73ada07a05ac,2026-02-03,96819.62,Credit,Completed
TXN-4033349,55ecde6e-c25b-4714-966e-73ada07a05ac,2025-12-17,78451.78,Credit,Completed
TXN-7299492,55ecde6e-c25b-4714-966e-73ada07a05ac,2025-11-23,32884.77,Debit,Completed
TXN-7049850,55ecde6e-c25b-4714-966e-73ada07a05ac,2026-04-12,79343.36,Credit,Completed
TXN-4494708,55ecde6e-c25b-4714-966e-73ada07a05ac,2026-02-19,95981.12,Debit,Completed
TXN-7538655,55ecde6e-c25b-4714-966e-73ada07a05ac,2026-02-05,29569.95,Debit,Completed
TXN-6066112,55ecde6e-c25b-4714-966e-73ada07a05ac,2026-01-19,45441.67,Credit,Pending
TXN-9950668,55ecde6e-c25b-4714-966e-73ada07a05ac,2026-02-07,59180.24,Debit,Completed
TXN-7890709,55ecde6e-c25b-4714-966e-73ada07a05ac,2026-03-20,102690.29,Debit,Completed
TXN-3604884,55ecde6e-c25b-4714-966e-73ada07a05ac,2025-10-27,78869.28,Credit,Completed
TXN-7289249,55ecde6e-c25b-4714-966e-73ada07a05ac,2025-10-30,57346.34,Credit,Completed
TXN-8499412,55ecde6e-c25b-4714-966e-73ada07a05ac,2026-03-07,52909.17,Debit,Completed
TXN-4683909,55ecde6e-c25b-4714-966e-73ada07a05ac,2025-11-05,83105.97,Debit,Completed
TXN-4070771,9fda2fed-7145-4e53-99ed-a892dbb05508,2026-01-23,8103.73,Credit,Completed
TXN-1909245,9fda2fed-7145-4e53-99ed-a892dbb05508,2026-03-19,207084.91,Credit,Completed
TXN-1592632,9fda2fed-7145-4e53-99ed-a892dbb05508,2026-04-16,204069.56,Credit,Completed
TXN-7713070,9fda2fed-7145-4e53-99ed-a892dbb05508,2025-10-23,318503.92,Debit,Completed
